itin_id,day_no,port_slug,port_label,arrive,depart,note
i0001,1,cape-liberty,Cape Liberty (New York area),,3:00 PM,Embarkation day
i0001,2,at-sea,At sea,,,Full ship day
i0001,3,port-canaveral,Port Canaveral FL,11:59 AM,8:00 PM,Long evening in port
i0001,4,cococay,Perfect Day at CocoCay,9:00 AM,5:00 PM,Private island day
i0001,5,nassau,Nassau Bahamas,8:00 AM,5:00 PM,Capital city day
i0001,6,at-sea,At sea,,,Sea day northbound
i0001,7,at-sea,At sea,,,Sea day northbound
i0001,8,cape-liberty,Cape Liberty (New York area),6:00 AM,,Disembarkation
i0003,1,galveston,Galveston TX,,4:30 PM,Embarkation day
i0003,2,at-sea,At sea,,,At sea
i0003,3,cozumel,Cozumel Mexico,8:00 AM,6:00 PM,
i0003,4,roatan,Roatan Honduras,9:00 AM,5:00 PM,
i0003,5,costa-maya,Costa Maya Mexico,8:00 AM,4:00 PM,
i0003,6,at-sea,At sea,,,At sea
i0003,7,galveston,Galveston TX,6:00 AM,,Disembarkation
i0004,1,galveston,Galveston TX,,4:30 PM,Embarkation day
i0004,2,at-sea,At sea,,,At sea
i0004,3,cozumel,Cozumel Mexico,8:00 AM,6:00 PM,
i0004,4,costa-maya,Costa Maya Mexico,8:00 AM,5:00 PM,
i0004,5,at-sea,At sea,,,At sea
i0004,6,cococay,Perfect Day at CocoCay,8:30 AM,5:00 PM,
i0004,7,at-sea,At sea,,,At sea
i0004,8,at-sea,At sea,,,At sea
i0004,9,galveston,Galveston TX,6:00 AM,,Disembarkation
i0005,1,galveston,Galveston TX,,3:00 PM,Embarkation day
i0005,2,at-sea,At sea,,,At sea
i0005,3,costa-maya,Costa Maya Mexico,11:59 AM,7:00 PM,
i0005,4,cozumel,Cozumel Mexico,7:00 AM,5:00 PM,
i0005,5,at-sea,At sea,,,At sea
i0005,6,galveston,Galveston TX,7:00 AM,,Disembarkation
i0006,1,galveston,Galveston TX,,4:00 PM,Embarkation day
i0006,2,at-sea,At sea,,,At sea
i0006,3,costa-maya,Costa Maya Mexico,11:59 AM,7:00 PM,
i0006,4,cozumel,Cozumel Mexico,7:00 AM,5:00 PM,
i0006,5,at-sea,At sea,,,At sea
i0006,6,galveston,Galveston TX,7:00 AM,,Disembarkation
i0007,1,galveston,Galveston TX,,4:00 PM,Embarkation day
i0007,2,at-sea,At sea,,,At sea
i0007,3,cozumel,Cozumel Mexico,7:00 AM,5:00 PM,
i0007,4,at-sea,At sea,,,At sea
i0007,5,galveston,Galveston TX,7:00 AM,,Disembarkation
i0008,1,galveston,Galveston TX,,3:00 PM,Embarkation day
i0008,2,at-sea,At sea,,,At sea
i0008,3,cozumel,Cozumel Mexico,7:00 AM,5:00 PM,
i0008,4,at-sea,At sea,,,At sea
i0008,5,galveston,Galveston TX,7:00 AM,,Disembarkation
i0009,1,galveston,Galveston TX,,3:00 PM,Embarkation day
i0009,2,at-sea,At sea,,,At sea
i0009,3,costa-maya,Costa Maya Mexico,11:59 AM,7:00 PM,
i0009,4,roatan,Roatan Honduras,7:00 AM,3:00 PM,
i0009,5,cozumel,Cozumel Mexico,7:00 AM,5:00 PM,
i0009,6,at-sea,At sea,,,At sea
i0009,7,galveston,Galveston TX,7:00 AM,,Disembarkation
i0010,1,galveston,Galveston TX,,3:00 PM,Embarkation day
i0010,2,at-sea,At sea,,,At sea
i0010,3,at-sea,At sea,,,At sea
i0010,4,roatan,Roatan Honduras,8:00 AM,5:00 PM,
i0010,5,costa-maya,Costa Maya Mexico,8:00 AM,5:00 PM,
i0010,6,cozumel,Cozumel Mexico,7:00 AM,5:00 PM,
i0010,7,at-sea,At sea,,,At sea
i0010,8,galveston,Galveston TX,7:00 AM,,Disembarkation
i0011,1,galveston,Galveston TX,,3:00 PM,Embarkation day
i0011,2,at-sea,At sea,,,At sea
i0011,3,at-sea,At sea,,,At sea
i0011,4,cococay,Perfect Day at CocoCay,7:00 AM,4:00 PM,
i0011,5,at-sea,At sea,,,At sea
i0011,6,costa-maya,Costa Maya Mexico,10:00 AM,6:00 PM,
i0011,7,cozumel,Cozumel Mexico,7:00 AM,5:00 PM,
i0011,8,at-sea,At sea,,,At sea
i0011,9,galveston,Galveston TX,7:00 AM,,Disembarkation
i0012,1,galveston,Galveston TX,,4:00 PM,Embarkation day
i0012,2,at-sea,At sea,,,At sea
i0012,3,cozumel,Cozumel Mexico,8:00 AM,6:00 PM,
i0012,4,belize-city,Belize City Belize,8:00 AM,5:00 PM,
i0012,5,costa-maya,Costa Maya Mexico,8:00 AM,3:00 PM,
i0012,6,at-sea,At sea,,,At sea
i0012,7,galveston,Galveston TX,8:00 AM,,Disembarkation
i0013,1,galveston,Galveston TX,,4:00 PM,Embarkation day
