campaign_name,ad_group,page_id,final_url,keyword,match_type,volume_mid,class,expected_intent_note,tracking_slot,suggested_start_bid,headline_seed_1,headline_seed_2,headline_seed_3
RC-p003-BOOK,p003--deals,p003,/en/go/lines/royal-caribbean/,royal caribbean cruise deals,exact,246000,BOOK-NOW,Brand-committed shopper; call must surface current sailings and price one,fwd-RC-p003-BOOK,0.45,Royal Caribbean Cruise Deals,Current Sailings And Dates,Call A Cruise Specialist
RC-p003-BOOK,p003--deals,p003,/en/go/lines/royal-caribbean/,royal caribbean cruise deals,"phrase (discovery, negatives applied)",246000,BOOK-NOW,Brand-committed shopper; call must surface current sailings and price one,fwd-RC-p003-BOOK,0.45,Royal Caribbean Cruise Deals,Current Sailings And Dates,Call A Cruise Specialist
RC-p003-BOOK,p003--deals,p003,/en/go/lines/royal-caribbean/,last minute cruise deals royal caribbean,exact,9900,BOOK-NOW,Brand-committed shopper; call must surface current sailings and price one,fwd-RC-p003-BOOK,0.33,Royal Caribbean Cruise Deals,Current Sailings And Dates,Call A Cruise Specialist
RC-p003-BOOK,p003--deals,p003,/en/go/lines/royal-caribbean/,royal caribbean deals,exact,2400,BOOK-NOW,Brand-committed shopper; call must surface current sailings and price one,fwd-RC-p003-BOOK,0.55,Royal Caribbean Cruise Deals,Current Sailings And Dates,Call A Cruise Specialist
RC-p003-BOOK,p003--deals,p003,/en/go/lines/royal-caribbean/,royal caribbean last minute deals,exact,1900,BOOK-NOW,Brand-committed shopper; call must surface current sailings and price one,fwd-RC-p003-BOOK,0.28,Royal Caribbean Cruise Deals,Current Sailings And Dates,Call A Cruise Specialist
RC-p003-BOOK,p003--deals,p003,/en/go/lines/royal-caribbean/,royal caribbean discounts,exact,1000,BOOK-NOW,Brand-committed shopper; call must surface current sailings and price one,fwd-RC-p003-BOOK,1.07,Royal Caribbean Cruise Deals,Current Sailings And Dates,Call A Cruise Specialist
RC-p003-BOOK,p003--deals,p003,/en/go/lines/royal-caribbean/,royal caribbean cruise discounts,exact,590,BOOK-NOW,Brand-committed shopper; call must surface current sailings and price one,fwd-RC-p003-BOOK,1.18,Royal Caribbean Cruise Deals,Current Sailings And Dates,Call A Cruise Specialist
RC-p003-BOOK,p003--deals,p003,/en/go/lines/royal-caribbean/,royal caribbean first responder discount,exact,320,BOOK-NOW,Brand-committed shopper; call must surface current sailings and price one,fwd-RC-p003-BOOK,1.04,Royal Caribbean Cruise Deals,Current Sailings And Dates,Call A Cruise Specialist
RC-p003-BOOK,p003--deals,p003,/en/go/lines/royal-caribbean/,royal caribbean flash sale,exact,210,BOOK-NOW,Brand-committed shopper; call must surface current sailings and price one,fwd-RC-p003-BOOK,0.49,Royal Caribbean Cruise Deals,Current Sailings And Dates,Call A Cruise Specialist
RC-p003-BOOK,p003--deals,p003,/en/go/lines/royal-caribbean/,aaa cruise discounts royal caribbean,exact,170,BOOK-NOW,Brand-committed shopper; call must surface current sailings and price one,fwd-RC-p003-BOOK,1.43,Royal Caribbean Cruise Deals,Current Sailings And Dates,Call A Cruise Specialist
RC-npq-rci-booking-help-CALL,npq-rci-booking-help--phone,npq-rci-booking-help,/en/go/lines/royal-caribbean/booking-help/,royal caribbean phone number,exact,33100,CALL-INTENT,"Wants a human on the phone; disclose independent service upfront, close on booking help",fwd-RC-npq-rci-booking-help-CALL,1.26,Cruise Booking Help By Phone,Independent Cruise Experts,Talk To A Cruise Agent Now
RC-npq-rci-booking-help-CALL,npq-rci-booking-help--phone,npq-rci-booking-help,/en/go/lines/royal-caribbean/booking-help/,royal caribbean phone number,"phrase (discovery, negatives applied)",33100,CALL-INTENT,"Wants a human on the phone; disclose independent service upfront, close on booking help",fwd-RC-npq-rci-booking-help-CALL,1.26,Cruise Booking Help By Phone,Independent Cruise Experts,Talk To A Cruise Agent Now
RC-npq-rci-booking-help-CALL,npq-rci-booking-help--phone,npq-rci-booking-help,/en/go/lines/royal-caribbean/booking-help/,phone number for royal caribbean cruises,exact,4400,CALL-INTENT,"Wants a human on the phone; disclose independent service upfront, close on booking help",fwd-RC-npq-rci-booking-help-CALL,2.50,Cruise Booking Help By Phone,Independent Cruise Experts,Talk To A Cruise Agent Now
RC-npq-rci-booking-help-CALL,npq-rci-booking-help--phone,npq-rci-booking-help,/en/go/lines/royal-caribbean/booking-help/,call royal caribbean,exact,2900,CALL-INTENT,"Wants a human on the phone; disclose independent service upfront, close on booking help",fwd-RC-npq-rci-booking-help-CALL,0.42,Cruise Booking Help By Phone,Independent Cruise Experts,Talk To A Cruise Agent Now
RC-npq-rci-booking-help-CALL,npq-rci-booking-help--phone,npq-rci-booking-help,/en/go/lines/royal-caribbean/booking-help/,call royal caribbean cruise line,exact,2400,CALL-INTENT,"Wants a human on the phone; disclose independent service upfront, close on booking help",fwd-RC-npq-rci-booking-help-CALL,0.45,Cruise Booking Help By Phone,Independent Cruise Experts,Talk To A Cruise Agent Now
RC-npq-rci-booking-help-CALL,npq-rci-booking-help--phone,npq-rci-booking-help,/en/go/lines/royal-caribbean/booking-help/,royal caribbean booking phone number,exact,1900,CALL-INTENT,"Wants a human on the phone; disclose independent service upfront, close on booking help",fwd-RC-npq-rci-booking-help-CALL,2.03,Cruise Booking Help By Phone,Independent Cruise Experts,Talk To A Cruise Agent Now
RC-npq-rci-booking-help-CALL,npq-rci-booking-help--phone,npq-rci-booking-help,/en/go/lines/royal-caribbean/booking-help/,royal caribbean phone,exact,1300,CALL-INTENT,"Wants a human on the phone; disclose independent service upfront, close on booking help",fwd-RC-npq-rci-booking-help-CALL,0.45,Cruise Booking Help By Phone,Independent Cruise Experts,Talk To A Cruise Agent Now
RC-npq-rci-booking-help-CALL,npq-rci-booking-help--phone,npq-rci-booking-help,/en/go/lines/royal-caribbean/booking-help/,royal caribbean group phone number,exact,390,CALL-INTENT,"Wants a human on the phone; disclose independent service upfront, close on booking help",fwd-RC-npq-rci-booking-help-CALL,2.50,Cruise Booking Help By Phone,Independent Cruise Experts,Talk To A Cruise Agent Now
RC-npq-rci-booking-help-CALL,npq-rci-booking-help--phone,npq-rci-booking-help,/en/go/lines/royal-caribbean/booking-help/,royal caribbean cruises phone,exact,170,CALL-INTENT,"Wants a human on the phone; disclose independent service upfront, close on booking help",fwd-RC-npq-rci-booking-help-CALL,0.41,Cruise Booking Help By Phone,Independent Cruise Experts,Talk To A Cruise Agent Now
RC-npq-rci-booking-help-CALL,npq-rci-booking-help--phone,npq-rci-booking-help,/en/go/lines/royal-caribbean/booking-help/,phone number to royal caribbean,exact,140,CALL-INTENT,"Wants a human on the phone; disclose independent service upfront, close on booking help",fwd-RC-npq-rci-booking-help-CALL,2.50,Cruise Booking Help By Phone,Independent Cruise Experts,Talk To A Cruise Agent Now
RC-npq-rci-booking-help-CALL,npq-rci-booking-help--phone,npq-rci-booking-help,/en/go/lines/royal-caribbean/booking-help/,royalcaribbean com phone number,exact,110,CALL-INTENT,"Wants a human on the phone; disclose independent service upfront, close on booking help",fwd-RC-npq-rci-booking-help-CALL,2.50,Cruise Booking Help By Phone,Independent Cruise Experts,Talk To A Cruise Agent Now
