itin_id,field,old_value,new_value,source,retrieved_at,literal_value_seen
i0003,price_interior,1052,1391,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=IC06GAL-1251154778; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,USD 1390.51 (lowest upcoming lead-in across sail months)
i0003,price_balcony,1699,1621,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=IC06GAL-1251154778; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,USD 1621.01 (lowest upcoming lead-in across sail months)
i0003,month_price_overrides,2026-11:i1189,2027-08:i1639|b1838|2027-09:i1709|b1719,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=IC06GAL-1251154778; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,monthly minima: 2027-08: interior 1639.46 / balcony 1837.88; 2027-09: interior 1709.46 / balcony 1718.96; 2027-10: interior 1390.51 / balcony 1621.01
i0003,taxes_note,Plus taxes fees and port expenses,Taxes and fees included in the listed fare,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=IC06GAL-1251154778; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,taxesAndFeesIncluded=true on every returned sailing
i0003,date_checked,2026-07-27,2026-07-29,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=IC06GAL-1251154778; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,
i0004,price_interior,1365,1850,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=IC08GAL-3243125344; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,USD 1849.96 (lowest upcoming lead-in across sail months)
i0004,price_balcony,2099,2128,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=IC08GAL-3243125344; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,USD 2128.43 (lowest upcoming lead-in across sail months)
i0004,month_price_overrides,2026-12:i1690,2027-08:i2058|b2318|2027-09:i1990|2027-10:b2150|2027-11:i2078|b2328,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=IC08GAL-3243125344; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,monthly minima: 2027-08: interior 2058.43 / balcony 2317.93; 2027-09: interior 1989.96 / balcony 2128.43; 2027-10: interior 1849.96 / balcony 2149.96; 2027-11: interior 2077.64 / balcony 2327.64
i0004,taxes_note,Plus taxes fees and port expenses,Taxes and fees included in the listed fare,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=IC08GAL-3243125344; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,taxesAndFeesIncluded=true on every returned sailing
i0004,date_checked,2026-07-27,2026-07-29,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=IC08GAL-3243125344; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,
i0005,price_interior,,398,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=MA05GAL-2956042404; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,USD 398.39 (lowest upcoming lead-in across sail months)
i0005,price_balcony,,598,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=MA05GAL-2956042404; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,USD 598.18 (lowest upcoming lead-in across sail months)
i0005,month_price_overrides,,2026-08:i448|2026-09:b649|2026-10:i456|b794,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=MA05GAL-2956042404; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,monthly minima: 2026-08: interior 448.18 / balcony 598.18; 2026-09: interior 398.39 / balcony 649.39; 2026-10: interior 456.12 / balcony 793.64
i0005,taxes_note,,Taxes and fees included in the listed fare,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=MA05GAL-2956042404; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,taxesAndFeesIncluded=true on every returned sailing
i0005,date_checked,,2026-07-29,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=MA05GAL-2956042404; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,
i0006,price_interior,,418,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=LB05GAL-2956042566; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,USD 418.35 (lowest upcoming lead-in across sail months)
i0006,price_balcony,,648,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=LB05GAL-2956042566; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,USD 647.59 (lowest upcoming lead-in across sail months)
i0006,month_price_overrides,,2026-10:i427|b673|2026-11:i469|b723|2026-12:b691|2027-01:i463|2027-02:i461|b726|2027-03:i573|b809|2027-04:i525|b868|2027-05:i643|b840|2027-06:i816|b1077|2027-07:i813|b1010|2027-08:i542|b830|2027-09:i536|b823|2027-10:i536|b836|2027-11:i535|b822|2027-12:i521|b822|2028-01:i536|b824|2028-02:i640|b981|2028-03:i731|b1041|2028-04:i683|b1003,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=LB05GAL-2956042566; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,monthly minima: 2026-10: interior 426.56 / balcony 673.06; 2026-11: interior 468.78 / balcony 722.56; 2026-12: interior 418.35 / balcony 690.85; 2027-01: interior 463.09 / balcony 647.59; 2027-02: interior 460.93 / balcony 726.43; 2027-03: interior 573.09 / balcony 808.59; 2027-04: interior 525.44 / balcony 867.94; 2027-05: interior 642.6 / balcony 839.51; 2027-06: interior 815.51 / balcony 1076.6; 2027-07: interior 812.79 / balcony 1010.4; 2027-08: interior 541.78 / balcony 829.78; 2027-09: interior 535.74 / balcony 823.24; 2027-10: interior 535.58 / balcony 835.74; 2027-11: interior 534.83 / balcony 822.33; 2027-12: interior 521.45 / balcony 822.33; 2028-01: interior 536.45 / balcony 823.95; 2028-02: interior 640.46 / balcony 980.96; 2028-03: interior 730.96 / balcony 1040.96; 2028-04: interior 683.41 / balcony 1003.41
i0006,taxes_note,,Taxes and fees included in the listed fare,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=LB05GAL-2956042566; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,taxesAndFeesIncluded=true on every returned sailing
i0006,date_checked,,2026-07-29,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=LB05GAL-2956042566; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,
i0007,price_interior,,482,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=LB04GAL-597171099; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,USD 481.59 (lowest upcoming lead-in across sail months)
i0007,price_balcony,,719,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=LB04GAL-597171099; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,USD 719.26 (lowest upcoming lead-in across sail months)
i0007,month_price_overrides,,2026-11:b744|2026-12:i536|b831|2027-01:i605|2027-02:i554|b759|2027-03:i524|b807|2027-04:i556|b874|2027-05:i605|b839|2027-06:i721|b966|2027-07:i699|b914|2027-08:i532|b820|2027-09:i511|b799|2027-10:i511|b799|2027-11:i512|b800|2027-12:i512|b800|2028-01:i512|b800|2028-02:i624|b974|2028-03:i634|b995|2028-04:i655|b1021,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=LB04GAL-597171099; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,monthly minima: 2026-11: interior 481.59 / balcony 743.59; 2026-12: interior 536.12 / balcony 831.12; 2027-01: interior 604.76 / balcony 719.26; 2027-02: interior 553.76 / balcony 759.26; 2027-03: interior 523.76 / balcony 806.76; 2027-04: interior 555.81 / balcony 874.31; 2027-05: interior 604.81 / balcony 839.31; 2027-06: interior 720.81 / balcony 966.31; 2027-07: interior 699.26 / balcony 913.76; 2027-08: interior 531.55 / balcony 820.05; 2027-09: interior 511.05 / balcony 799.05; 2027-10: interior 511.05 / balcony 799.05; 2027-11: interior 512 / balcony 800; 2027-12: interior 512 / balcony 800; 2028-01: interior 512 / balcony 800; 2028-02: interior 624.28 / balcony 974.28; 2028-03: interior 634.28 / balcony 994.78; 2028-04: interior 654.78 / balcony 1021.28
i0007,taxes_note,,Taxes and fees included in the listed fare,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=LB04GAL-597171099; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,taxesAndFeesIncluded=true on every returned sailing
i0007,date_checked,,2026-07-29,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=LB04GAL-597171099; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,
i0008,price_interior,,459,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=MA04GAL-597171001; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,USD 459.48 (lowest upcoming lead-in across sail months)
i0008,price_balcony,,707,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=MA04GAL-597171001; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,USD 707.48 (lowest upcoming lead-in across sail months)
i0008,month_price_overrides,,2026-08:i590|b826|2026-09:i603|b857,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=MA04GAL-597171001; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,monthly minima: 2026-08: interior 590.14 / balcony 825.64; 2026-09: interior 602.93 / balcony 856.97; 2026-10: interior 459.48 / balcony 707.48
i0008,taxes_note,,Taxes and fees included in the listed fare,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=MA04GAL-597171001; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,taxesAndFeesIncluded=true on every returned sailing
i0008,date_checked,,2026-07-29,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=MA04GAL-597171001; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,
i0009,price_interior,,649,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=SY06GAL-1251154330; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,USD 648.97 (lowest upcoming lead-in across sail months)
i0009,price_balcony,,806,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=SY06GAL-1251154330; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,USD 806.01 (lowest upcoming lead-in across sail months)
i0009,month_price_overrides,,2026-08:b1029|2026-09:b849|2026-10:i718|2027-05:i652|b864|2027-06:i962|b1104|2027-07:i921|b1094,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=SY06GAL-1251154330; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,monthly minima: 2026-08: interior not shown / balcony 1028.84; 2026-09: interior 648.97 / balcony 848.97; 2026-10: interior 717.51 / balcony 806.01; 2027-05: interior 651.5 / balcony 864; 2027-06: interior 961.5 / balcony 1104; 2027-07: interior 921 / balcony 1093.5
i0009,taxes_note,,Taxes and fees included in the listed fare,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=SY06GAL-1251154330; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,taxesAndFeesIncluded=true on every returned sailing
i0009,date_checked,,2026-07-29,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=SY06GAL-1251154330; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,
i0010,price_interior,,655,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=SY07GAL-3851841824; raw response cached at lp-system/out/cache/2026-07-29/graph-departurePort-GAL.json,2026-07-29T11:33:59,USD 654.9 (lowest upcoming lead-in across sail months)
