itin_id,field,old_value,new_value,source_url,retrieved_at,literal_value_seen,confirm_source_url,confirm_retrieved_at,confirm_result,cache_files
i0003,price_balcony,1501,1023,"https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""departurePort:GAL"" pagination:{count:50,skip:0}",2026-08-05T18:55:33+05:30,"stateroomClass BALCONY price.value 1022.96 USD (2027-09-05 sailing, lowest of 7 upcoming sailings)","https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""ship:IC"" pagination:{count:100,skip:0} (fleet-wide, filtered client-side to departurePort GAL)",2026-08-05T18:56:11+05:30,agrees to the cent,lp-system/out/cache/2026-08-05/graph-departurePort-GAL.json; lp-system/out/cache/2026-08-05/graph-confirm-ship-IC.json
i0003,month_price_overrides,2027-08:i1527|b1688|2027-09:i1597|b1669|2027-10:i1339|b1501,2027-08:i1527|b1688|2027-09:i1597|b1023|2027-10:i1339|b1501,"https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""departurePort:GAL"" pagination:{count:50,skip:0}",2026-08-05T18:55:33+05:30,"2027-08: INTERIOR 1526.96, BALCONY 1687.88 (min of 2 sailings); 2027-09: INTERIOR 1596.96, BALCONY 1022.96 (min of 2 sailings); 2027-10: INTERIOR 1338.51, BALCONY 1501.01 (min of 3 sailings)","https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""ship:IC"" pagination:{count:100,skip:0} (fleet-wide, filtered client-side to departurePort GAL)",2026-08-05T18:56:11+05:30,agrees to the cent,lp-system/out/cache/2026-08-05/graph-departurePort-GAL.json; lp-system/out/cache/2026-08-05/graph-confirm-ship-IC.json
i0003,date_checked,2026-08-02,2026-08-05,"https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""departurePort:GAL"" pagination:{count:50,skip:0}",2026-08-05T18:55:33+05:30,7 upcoming sailings retrieved from the official cruiseSearch response (taxesAndFeesIncluded=[True]); values changed,"https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""ship:IC"" pagination:{count:100,skip:0} (fleet-wide, filtered client-side to departurePort GAL)",2026-08-05T18:56:11+05:30,agrees to the cent,lp-system/out/cache/2026-08-05/graph-departurePort-GAL.json; lp-system/out/cache/2026-08-05/graph-confirm-ship-IC.json
i0004,date_checked,2026-08-02,2026-08-05,"https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""departurePort:GAL"" pagination:{count:50,skip:0}",2026-08-05T18:55:33+05:30,6 upcoming sailings retrieved from the official cruiseSearch response (taxesAndFeesIncluded=[True]); all price fields re-verified unchanged,"https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""ship:IC"" pagination:{count:100,skip:0} (fleet-wide, filtered client-side to departurePort GAL)",2026-08-05T18:56:11+05:30,agrees to the cent,lp-system/out/cache/2026-08-05/graph-departurePort-GAL.json; lp-system/out/cache/2026-08-05/graph-confirm-ship-IC.json
i0005,price_balcony,708,760,"https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""departurePort:GAL"" pagination:{count:50,skip:0}",2026-08-05T18:55:33+05:30,"stateroomClass BALCONY price.value 760.37 USD (2026-09-19 sailing, lowest of 11 upcoming sailings)","https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""ship:MA"" pagination:{count:100,skip:0} (fleet-wide, filtered client-side to departurePort GAL)",2026-08-05T18:56:36+05:30,agrees to the cent,lp-system/out/cache/2026-08-05/graph-departurePort-GAL.json; lp-system/out/cache/2026-08-05/graph-confirm-ship-MA.json
i0005,month_price_overrides,2026-08:i514|b778|2026-09:i379|b708|2026-10:i418|b768,2026-08:i514|b900|2026-09:i379|b760|2026-10:i418|b768,"https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""departurePort:GAL"" pagination:{count:50,skip:0}",2026-08-05T18:55:33+05:30,"2026-08: INTERIOR 513.94, BALCONY 899.94 (min of 4 sailings); 2026-09: INTERIOR 378.94, BALCONY 760.37 (min of 4 sailings); 2026-10: INTERIOR 418.12, BALCONY 768.12 (min of 3 sailings)","https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""ship:MA"" pagination:{count:100,skip:0} (fleet-wide, filtered client-side to departurePort GAL)",2026-08-05T18:56:36+05:30,agrees to the cent,lp-system/out/cache/2026-08-05/graph-departurePort-GAL.json; lp-system/out/cache/2026-08-05/graph-confirm-ship-MA.json
i0005,date_checked,2026-08-02,2026-08-05,"https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""departurePort:GAL"" pagination:{count:50,skip:0}",2026-08-05T18:55:33+05:30,11 upcoming sailings retrieved from the official cruiseSearch response (taxesAndFeesIncluded=[True]); values changed,"https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""ship:MA"" pagination:{count:100,skip:0} (fleet-wide, filtered client-side to departurePort GAL)",2026-08-05T18:56:36+05:30,agrees to the cent,lp-system/out/cache/2026-08-05/graph-departurePort-GAL.json; lp-system/out/cache/2026-08-05/graph-confirm-ship-MA.json
i0006,price_interior,443,452,"https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""departurePort:GAL"" pagination:{count:50,skip:0}",2026-08-05T18:55:33+05:30,"stateroomClass INTERIOR price.value 451.56 USD (2026-10-31 sailing, lowest of 70 upcoming sailings)","https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""ship:LB"" pagination:{count:100,skip:0} (fleet-wide, filtered client-side to departurePort GAL)",2026-08-05T18:56:24+05:30,agrees to the cent,lp-system/out/cache/2026-08-05/graph-departurePort-GAL.json; lp-system/out/cache/2026-08-05/graph-confirm-ship-LB.json
i0006,month_price_overrides,2026-10:i452|b698|2026-11:i472|b675|2026-12:i443|b716|2027-01:i463|b648|2027-02:i461|b726|2027-03:i573|b809|2027-04:i525|b868|2027-05:i643|b840|2027-06:i816|b1077|2027-07:i813|b1010|2027-08:i479|b730|2027-09:i473|b723|2027-10:i473|b736|2027-11:i472|b722|2027-12:i459|b722|2028-01:i474|b724|2028-02:i578|b881|2028-03:i668|b941|2028-04:i621|b903,2026-10:i452|b848|2026-11:i494|b748|2026-12:i495|b768|2027-01:i510|b648|2027-02:i477|b778|2027-03:i573|b809|2027-04:i525|b868|2027-05:i643|b840|2027-06:i816|b1077|2027-07:i813|b1010|2027-08:i479|b730|2027-09:i473|b723|2027-10:i473|b756|2027-11:i472|b722|2027-12:i472|b722|2028-01:i474|b724|2028-02:i578|b881|2028-03:i668|b941|2028-04:i621|b903,"https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""departurePort:GAL"" pagination:{count:50,skip:0}",2026-08-05T18:55:33+05:30,"2026-10: INTERIOR 451.56, BALCONY 848.06 (min of 1 sailing); 2026-11: INTERIOR 493.78, BALCONY 747.56 (min of 4 sailings); 2026-12: INTERIOR 495.35, BALCONY 767.85 (min of 3 sailings); 2027-01: INTERIOR 509.94, BALCONY 647.59 (min of 4 sailings); 2027-02: INTERIOR 477.09, BALCONY 778.43 (min of 4 sailings); 2027-03: INTERIOR 573.09, BALCONY 808.59 (min of 5 sailings); 2027-04: INTERIOR 525.44, BALCONY 867.94 (min of 4 sailings); 2027-05: INTERIOR 642.6, BALCONY 839.51 (min of 5 sailings); 2027-06: INTERIOR 815.51, BALCONY 1076.6 (min of 4 sailings); 2027-07: INTERIOR 812.79, BALCONY 1010.4 (min of 4 sailings); 2027-08: INTERIOR 479.28, BALCONY 729.78 (min of 4 sailings); 2027-09: INTERIOR 473.24, BALCONY 723.24 (min of 4 sailings); 2027-10: INTERIOR 473.08, BALCONY 755.74 (min of 5 sailings); 2027-11: INTERIOR 472.33, BALCONY 722.33 (min of 4 sailings); 2027-12: INTERIOR 472.33, BALCONY 722.33 (min of 2 sailings); 2028-01: INTERIOR 473.95, BALCONY 723.95 (min of 4 sailings); 2028-02: INTERIOR 577.96, BALCONY 880.96 (min of 3 sailings); 2028-03: INTERIOR 668.46, BALCONY 940.96 (min of 4 sailings); 2028-04: INTERIOR 620.91, BALCONY 903.41 (min of 2 sailings)","https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""ship:LB"" pagination:{count:100,skip:0} (fleet-wide, filtered client-side to departurePort GAL)",2026-08-05T18:56:24+05:30,agrees to the cent,lp-system/out/cache/2026-08-05/graph-departurePort-GAL.json; lp-system/out/cache/2026-08-05/graph-confirm-ship-LB.json
i0006,date_checked,2026-08-02,2026-08-05,"https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""departurePort:GAL"" pagination:{count:50,skip:0}",2026-08-05T18:55:33+05:30,70 upcoming sailings retrieved from the official cruiseSearch response (taxesAndFeesIncluded=[True]); values changed,"https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""ship:LB"" pagination:{count:100,skip:0} (fleet-wide, filtered client-side to departurePort GAL)",2026-08-05T18:56:24+05:30,agrees to the cent,lp-system/out/cache/2026-08-05/graph-departurePort-GAL.json; lp-system/out/cache/2026-08-05/graph-confirm-ship-LB.json
