itin_id,slug,field,old_value,new_value,pct_change,queryA_value,queryB_value,queries_agree,literal_value_seen,sailing_id,source_url,retrieved_at,status,note
i0003,6n-west-caribbean-icon-galveston,price_interior,1250,1180,-5.6%,1179.51,1179.51,yes,"""price"":{""value"":1179.51}","2027-10 floor, 2027-10-03",https://www.royalcaribbean.com/itinerary/6-night-western-caribbean-from-galveston-on-icon-IC06W319?sailDate=2027-10-03&packageCode=IC06W319&groupId=IC06GAL-1251154778&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0003,6n-west-caribbean-icon-galveston,price_balcony,1450,1360,-6.2%,1359.51,1359.51,yes,"""price"":{""value"":1359.51}","2027-10 floor, 2027-10-03",https://www.royalcaribbean.com/itinerary/6-night-western-caribbean-from-galveston-on-icon-IC06W319?sailDate=2027-10-03&packageCode=IC06W319&groupId=IC06GAL-1251154778&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0003,6n-west-caribbean-icon-galveston,month_price_overrides,2027-08:i1349|b1549|2027-09:i1279|b1479|2027-10:i1250|b1450,2027-08:i1349|b1549|2027-09:i1199|b1379|2027-10:i1180|b1360,n/a,,,yes,n/a,3 months re-derived from source,https://www.royalcaribbean.com/itinerary/6-night-western-caribbean-from-galveston-on-icon-IC06W319?sailDate=2027-10-03&packageCode=IC06W319&groupId=IC06GAL-1251154778&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0003,6n-west-caribbean-icon-galveston,date_checked,2026-09-15,2026-09-22,n/a,,,yes,n/a,row re-verified from source this run,https://www.royalcaribbean.com/itinerary/6-night-western-caribbean-from-galveston-on-icon-IC06W319?sailDate=2027-10-03&packageCode=IC06W319&groupId=IC06GAL-1251154778&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0004,8n-cococay-west-caribbean-galveston,price_balcony,1830,1809,-1.1%,1809.46,1809.46,yes,"""price"":{""value"":1809.46}","2027-09 floor, 2027-09-25",https://www.royalcaribbean.com/itinerary/8-night-perfect-day-cococay-west-carib-from-galveston-on-icon-IC08W072?sailDate=2027-10-23&packageCode=IC08W072&groupId=IC08GAL-3243125344&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0004,8n-cococay-west-caribbean-galveston,month_price_overrides,2027-08:i1849|b2049|2027-09:i1629|b1830|2027-10:i1699|b1900|2027-11:i1749|b1950,2027-08:i1699|b1879|2027-09:i1629|b1809|2027-10:i1649|b1830|2027-11:i1650|b1830,n/a,,,yes,n/a,4 months re-derived from source,https://www.royalcaribbean.com/itinerary/8-night-perfect-day-cococay-west-carib-from-galveston-on-icon-IC08W072?sailDate=2027-10-23&packageCode=IC08W072&groupId=IC08GAL-3243125344&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0004,8n-cococay-west-caribbean-galveston,date_checked,2026-09-15,2026-09-22,n/a,,,yes,n/a,row re-verified from source this run,https://www.royalcaribbean.com/itinerary/8-night-perfect-day-cococay-west-carib-from-galveston-on-icon-IC08W072?sailDate=2027-10-23&packageCode=IC08W072&groupId=IC08GAL-3243125344&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0005,5n-west-caribbean-mariner-galveston,price_interior,418,466,+11.5%,466.14,466.14,yes,"""price"":{""value"":466.14}","2026-10 floor, 2026-10-17",https://www.royalcaribbean.com/itinerary/5-night-western-caribbean-cruise-from-galveston-on-mariner-MA05W679?sailDate=2026-09-14&packageCode=MA05W679&groupId=MA05GAL-2956042404&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0005,5n-west-caribbean-mariner-galveston,price_balcony,889,1047,+17.8%,1046.64,1046.64,yes,"""price"":{""value"":1046.64}","2026-10 floor, 2026-10-17",https://www.royalcaribbean.com/itinerary/5-night-western-caribbean-cruise-from-galveston-on-mariner-MA05W679?sailDate=2026-09-14&packageCode=MA05W679&groupId=MA05GAL-2956042404&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0005,5n-west-caribbean-mariner-galveston,month_price_overrides,2026-09:i551|b1109|2026-10:i418|b889,2026-10:i466|b1047,n/a,,,yes,n/a,1 months re-derived from source,https://www.royalcaribbean.com/itinerary/5-night-western-caribbean-cruise-from-galveston-on-mariner-MA05W679?sailDate=2026-09-14&packageCode=MA05W679&groupId=MA05GAL-2956042404&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0005,5n-west-caribbean-mariner-galveston,sail_months,2026-09;2026-10,2026-10,n/a,,,yes,n/a,months returning from source: 2026-10,https://www.royalcaribbean.com/itinerary/5-night-western-caribbean-cruise-from-galveston-on-mariner-MA05W679?sailDate=2026-09-14&packageCode=MA05W679&groupId=MA05GAL-2956042404&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0005,5n-west-caribbean-mariner-galveston,season_note,Mariner sails this route Sep-Oct 2026,Mariner sails this route in Oct 2026,n/a,,,yes,n/a,2026-09 no longer returns from source,https://www.royalcaribbean.com/itinerary/5-night-western-caribbean-cruise-from-galveston-on-mariner-MA05W679?sailDate=2026-09-14&packageCode=MA05W679&groupId=MA05GAL-2956042404&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0005,5n-west-caribbean-mariner-galveston,date_checked,2026-09-15,2026-09-22,n/a,,,yes,n/a,row re-verified from source this run,https://www.royalcaribbean.com/itinerary/5-night-western-caribbean-cruise-from-galveston-on-mariner-MA05W679?sailDate=2026-09-14&packageCode=MA05W679&groupId=MA05GAL-2956042404&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
i0006,5n-west-caribbean-liberty-galveston,price_interior,364,427,+17.3%,426.59,426.59,yes,"""price"":{""value"":426.59}","2027-01 floor, 2027-01-18",https://www.royalcaribbean.com/itinerary/5-night-western-caribbean-cruise-from-galveston-on-liberty-LB05W648?sailDate=2026-12-07&packageCode=LB05W648&groupId=LB05GAL-2956042566&country=USA,A 2026-09-22T17:36:44Z / B 2026-09-22T17:37:15Z-17:37:29Z,verified,
