itin_id,name,source,fetch_status,price_interior_current,price_balcony_current,prices_found_on_page,candidate_interior,candidate_balcony,date_checked_current,retrieved_at,needs_manual,note
i0001,7-Night Perfect Day Bahamas from New York,seed-example-VERIFY-BEFORE-PUBLISH,not-a-url,899,1349,,,,2026-07-28,2026-07-29T11:26:16,yes,source 'seed-example-VERIFY-BEFORE-PUBLISH' is not fetchable; pricing-scout must verify by hand
i0002,7-Night Western Caribbean & Perfect Day,public-site,not-a-url,983,1589,,,,2026-07-27,2026-07-29T11:26:16,yes,source 'public-site' is not fetchable; pricing-scout must verify by hand
i0003,6-Night Western Caribbean,https://www.royalcaribbean.com/itinerary/6-night-western-caribbean-from-galveston-on-icon-IC06W319?sailDate=2027-10-03&packageCode=IC06W319&groupId=IC06GAL-1251154778&country=USA,error,1052,1699,,,,2026-07-27,2026-07-29T11:26:16,yes,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)>
i0004,8-Night Perfect Day CocoCay & West Caribbean,https://www.royalcaribbean.com/itinerary/8-night-perfect-day-cococay-west-carib-from-galveston-on-icon-IC08W072?sailDate=2027-10-23&packageCode=IC08W072&groupId=IC08GAL-3243125344&country=USA,error,1365,2099,,,,2026-07-27,2026-07-29T11:26:22,yes,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)>
i0005,5-Night Western Caribbean,https://www.royalcaribbean.com/itinerary/5-night-western-caribbean-cruise-from-galveston-on-mariner-MA05W679?sailDate=2026-09-14&packageCode=MA05W679&groupId=MA05GAL-2956042404&country=USA,error,,,,,,,2026-07-29T11:26:28,yes,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)>
i0006,5-Night Western Caribbean,https://www.royalcaribbean.com/itinerary/5-night-western-caribbean-cruise-from-galveston-on-liberty-LB05W648?sailDate=2026-12-07&packageCode=LB05W648&groupId=LB05GAL-2956042566&country=USA,error,,,,,,,2026-07-29T11:26:34,yes,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)>
i0007,4-Night Western Caribbean,https://www.royalcaribbean.com/itinerary/4-night-western-caribbean-cruise-from-galveston-on-liberty-LB04W201?sailDate=2026-11-05&packageCode=LB04W201&groupId=LB04GAL-597171099&country=USA,error,,,,,,,2026-07-29T11:26:40,yes,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)>
i0008,4-Night Western Caribbean,https://www.royalcaribbean.com/itinerary/4-night-western-caribbean-cruise-from-galveston-on-mariner-MA04W207?sailDate=2026-10-26&packageCode=MA04W207&groupId=MA04GAL-597171001&country=USA,error,,,,,,,2026-07-29T11:26:46,yes,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)>
i0009,6-Night Western Caribbean,https://www.royalcaribbean.com/itinerary/6-night-western-caribbean-cruise-from-galveston-on-symphony-SY06W287?sailDate=2026-09-20&packageCode=SY06W287&groupId=SY06GAL-1251154330&country=USA,error,,,,,,,2026-07-29T11:26:52,yes,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)>
i0010,7-Night Western Caribbean,https://www.royalcaribbean.com/itinerary/7-night-western-caribbean-cruise-from-galveston-on-symphony-SY07W705?sailDate=2026-12-06&packageCode=SY07W705&groupId=SY07GAL-3851841824&country=USA,error,,,,,,,2026-07-29T11:26:58,yes,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)>
